# symbol: AAPL
timeZone=America/New_York
date,time,open,high,low,close,volume
20131223,050000,81.1258,81.5315,80.3944,81.4415,123796952
20131224,050000,81.4129,81.6972,80.8615,81.0958,41399624
20131226,050000,81.1572,81.3572,80.4824,80.5572,50498476
20131227,050000,80.5458,80.6301,79.9286,80.0129,55745576
20131230,050000,79.6372,79.7215,78.9031,79.2172,61601368
20131231,050000,79.1672,80.1829,79.1429,80.1458,54723024
20140102,050000,79.3829,79.5758,78.8602,79.0186,57306332
20140103,050000,79.0001,79.1001,77.2044,77.2829,95635056
20140106,050000,76.7786,78.1144,76.2286,77.7044,100912152
20140107,050000,77.7601,77.9944,76.8465,77.1483,78139432
20140108,050000,76.9729,77.9372,76.9558,77.6372,62369036
20140109,050000,78.1144,78.1229,76.4787,76.6456,69120312
20140110,050000,77.1187,77.2572,75.8729,76.1344,75372128
20140113,050000,75.7144,77.5001,75.6972,76.5329,93753168
20140114,050000,76.8644,78.1044,76.8086,78.0558,82129816
20140115,050000,79.0744,80.0286,78.8086,79.6229,96063816
20140116,050000,79.2858,79.5501,78.8115,79.1786,56709044
20140117,050000,78.7829,78.8672,77.1286,77.2386,105643176
20140121,050000,77.2844,78.5815,77.2029,78.4386,80970496
20140122,050000,78.6972,79.6129,78.2587,78.7872,93925240
20140123,050000,78.5501,79.5001,77.8296,79.4544,99708880
20140124,050000,79.1429,79.3744,77.8215,78.0101,106663152
20140127,050000,78.6801,79.2572,77.9644,78.6429,104390576
20140128,050000,72.6986,73.5715,71.7244,72.3572,258406880
20140129,050000,71.9929,72.4815,71.2315,71.5358,124837024
20140130,050000,71.7829,72.3572,70.9572,71.3975,168583888
20140131,050000,70.7286,71.6472,70.5072,71.5144,113603240
20140203,050000,71.7729,72.5329,71.3286,71.6472,94303984
20140204,050000,72.2729,72.7801,71.8229,72.6844,94603200
20140205,050000,72.3844,73.6115,72.3218,73.2272,79201480
20140206,050000,72.9386,73.3572,72.5444,73.2158,63275800
20140207,050000,74.4644,74.7043,73.9115,74.2401,91767080
20140210,050000,74.0944,75.9986,74.0001,75.5701,85073448
20140211,050000,75.8015,76.8215,75.6429,76.5658,69406976
20140212,050000,76.7029,77.0801,76.1772,76.5601,76549960
20140213,050000,76.3801,77.8358,76.3144,77.7758,75629576
20140214,050000,77.4958,77.9972,77.3158,77.7129,67944256
20140218,050000,78.0001,78.7415,77.9444,77.9986,63288808
20140219,050000,77.7858,78.1272,76.3358,76.7672,76407200
20140220,050000,76.1087,76.7144,75.5715,75.8786,75603544
20140221,050000,76.1029,76.3672,74.9429,75.0358,69046352
20140224,050000,74.7201,75.7029,74.6315,75.3644,69370728
20140225,050000,75.5829,75.6522,74.4286,74.5801,57496208
20140226,050000,74.8015,75.0001,73.6572,73.9072,68543480
20140227,050000,73.8772,75.5401,73.7215,75.3815,72075472
20140228,050000,75.5829,76.1072,74.5886,75.1772,89064640
20140303,050000,74.7429,75.8072,74.6872,75.3944,58915744
